time,V(vout),V(n001)
4.353085613813222e-004,3.785996e+000,3.982179e+000
4.373085613813225e-004,3.780499e+000,3.572643e+000
4.393085613813227e-004,3.741093e+000,3.106719e+000
4.413085613813230e-004,3.666357e+000,2.591758e+000
4.433085613813233e-004,3.555574e+000,2.035883e+000
4.453085613813235e-004,3.408739e+000,1.447865e+000
4.473085613813238e-004,3.226545e+000,8.369876e-001
4.493085613813241e-004,3.017248e+000,2.129433e-001
4.495585613813243e-004,2.988718e+000,1.345617e-001
4.496210613813244e-004,2.981300e+000,1.150527e-001
4.497460613813245e-004,2.966493e+000,8.386683e-002
4.497499676313251e-004,2.966033e+000,8.264153e-002
4.498046551313240e-004,2.959644e+000,6.547941e-002
4.498671551313241e-004,2.952420e+000,4.585648e-002
4.499921551313242e-004,2.938220e+000,6.596233e-003
4.502421551313245e-004,2.910803e+000,-7.193985e-002
4.507421551313250e-004,2.859829e+000,-2.289586e-001
4.517421551313242e-004,2.772698e+000,-5.421697e-001
4.537421551313245e-004,2.639790e+000,-1.160884e+000
4.557421551313248e-004,2.555779e+000,-1.761185e+000
4.577421551313250e-004,2.522555e+000,-2.333605e+000
4.597421551313253e-004,2.533734e+000,-2.869122e+000
4.617421551313256e-004,2.582746e+000,-3.359294e+000
4.637421551313258e-004,2.662901e+000,-3.796396e+000
4.657421551313261e-004,2.767462e+000,-4.173540e+000
4.677421551313264e-004,2.889713e+000,-4.484782e+000
4.697421551313266e-004,3.023035e+000,-4.725220e+000
4.717421551313269e-004,3.160988e+000,-4.891065e+000
4.737421551313271e-004,3.297378e+000,-4.979705e+000
4.757421551313274e-004,3.426401e+000,-4.989747e+000
4.777082959769325e-004,3.540635e+000,-4.922850e+000
4.797082959769328e-004,3.639035e+000,-4.777770e+000
4.817082959769330e-004,3.715148e+000,-4.557287e+000
4.837082959769333e-004,3.764974e+000,-4.264879e+000
4.857082959769336e-004,3.785194e+000,-3.905161e+000
4.877082959769338e-004,3.773142e+000,-3.483809e+000
4.897082959769341e-004,3.726836e+000,-3.007469e+000
4.917082959769344e-004,3.644995e+000,-2.483658e+000
4.937082959769346e-004,3.527045e+000,-1.920639e+000
4.957082959769349e-004,3.373121e+000,-1.327296e+000
4.979582959769354e-004,3.165954e+000,-6.352196e-001
4.984582959769359e-004,3.111305e+000,-4.792126e-001
4.994582959769352e-004,2.998430e+000,-1.659916e-001
4.995260089798188e-004,2.990561e+000,-1.447650e-001
4.995429372305401e-004,2.988555e+000,-1.394609e-001
4.995767937319810e-004,2.984536e+000,-1.288604e-001
4.996445067348646e-004,2.976509e+000,-1.137128e-001
4.997799327406318e-004,2.960533e+000,-7.323880e-002
4.998074411480535e-004,2.957319e+000,-6.460384e-002
4.999724915925787e-004,2.938355e+000,-1.277137e-002
5.000000000000004e-004,-1.#IND00e+000,-1.#IND00e+000
