time,V(vout),V(n001)
3.996844235519027e-004,3.160909e+000,-9.491030e-002
4.001844235519032e-004,3.159361e+000,5.356923e-002
4.002000485519037e-004,3.159314e+000,5.847542e-002
4.004812985519036e-004,3.158482e+000,1.468348e-001
4.007625485519035e-004,3.157681e+000,2.350895e-001
4.010437985519034e-004,3.156911e+000,3.232395e-001
4.013250485519033e-004,3.156172e+000,4.112848e-001
4.016062985519032e-004,3.155463e+000,4.992254e-001
4.018875485519031e-004,3.154784e+000,5.870613e-001
4.021687985519031e-004,3.154137e+000,6.747925e-001
4.041687985519033e-004,3.150091e+000,1.290267e+000
4.061687985519036e-004,3.147085e+000,1.885334e+000
4.081687985519038e-004,3.145222e+000,2.450602e+000
4.101687985519041e-004,3.144431e+000,2.977153e+000
4.121687985519044e-004,3.144625e+000,3.456683e+000
4.141687985519046e-004,3.145700e+000,3.881629e+000
4.161687985519049e-004,3.147540e+000,4.245288e+000
4.181687985519052e-004,3.150015e+000,4.541925e+000
4.201687985519054e-004,3.152986e+000,4.766863e+000
4.221687985519057e-004,3.156306e+000,4.916553e+000
4.241687985519060e-004,3.159822e+000,4.988635e+000
4.261687985519062e-004,3.163377e+000,4.981972e+000
4.281687985519065e-004,3.166816e+000,4.896669e+000
4.301687985519068e-004,3.169983e+000,4.734073e+000
4.321687985519070e-004,3.172727e+000,4.496747e+000
4.341687985519073e-004,3.174905e+000,4.188434e+000
4.361687985519076e-004,3.176381e+000,3.813997e+000
4.381687985519078e-004,3.177030e+000,3.379341e+000
4.401687985519081e-004,3.176742e+000,2.891322e+000
4.421687985519084e-004,3.175420e+000,2.357638e+000
4.441687985519086e-004,3.172983e+000,1.786706e+000
4.461687985519089e-004,3.169369e+000,1.187535e+000
4.481687985519092e-004,3.164802e+000,5.695884e-001
4.484187985519094e-004,3.164138e+000,4.915111e-001
4.489187985519099e-004,3.162697e+000,3.350186e-001
4.490437985519100e-004,3.162326e+000,2.958408e-001
4.492937985519103e-004,3.161564e+000,2.174448e-001
4.497937985519108e-004,3.160024e+000,6.910840e-002
4.498047870087792e-004,3.159990e+000,6.565914e-002
4.499586254049330e-004,3.159520e+000,1.735732e-002
4.501344407148219e-004,3.158993e+000,-3.785717e-002
4.504860713345996e-004,3.157977e+000,-1.482777e-001
4.511893325741569e-004,3.156088e+000,-3.688622e-001
4.525958550532696e-004,3.152795e+000,-8.074423e-001
4.545958550532699e-004,3.149040e+000,-1.419368e+000
4.565958550532701e-004,3.146379e+000,-2.008847e+000
4.585958550532704e-004,3.144847e+000,-2.566578e+000
4.605958550532707e-004,3.144369e+000,-3.083763e+000
4.625958550532709e-004,3.144855e+000,-3.552245e+000
4.645958550532712e-004,3.146199e+000,-3.964636e+000
4.665958550532715e-004,3.148280e+000,-4.314431e+000
4.685958550532717e-004,3.150967e+000,-4.596114e+000
4.705958550532720e-004,3.154119e+000,-4.805242e+000
4.725958550532722e-004,3.157585e+000,-4.938517e+000
4.743497595235107e-004,3.160769e+000,-4.991278e+000
4.762582040130896e-004,3.164253e+000,-4.979831e+000
4.782582040130899e-004,3.167775e+000,-4.891036e+000
4.802582040130902e-004,3.171020e+000,-4.725034e+000
4.822582040130904e-004,3.173835e+000,-4.484446e+000
4.842582040130907e-004,3.176077e+000,-4.173065e+000
4.862582040130910e-004,3.177611e+000,-3.795803e+000
4.882582040130912e-004,3.178313e+000,-3.358608e+000
4.902582040130915e-004,3.178073e+000,-2.868378e+000
4.922582040130918e-004,3.176794e+000,-2.332843e+000
4.942582040130920e-004,3.174398e+000,-1.760452e+000
4.962582040130923e-004,3.170821e+000,-1.160236e+000
4.984759285114552e-004,3.165725e+000,-4.736429e-001
4.990202397573643e-004,3.164169e+000,-3.032115e-001
4.992379642557287e-004,3.163513e+000,-2.349346e-001
4.996734132524557e-004,3.162176e+000,-9.836692e-002
4.997142365958992e-004,3.162048e+000,-8.983884e-002
4.997958832827863e-004,3.161791e+000,-6.839649e-002
4.997984347417522e-004,3.161783e+000,-6.759670e-002
4.998341551672638e-004,3.161671e+000,-5.639645e-002
4.999566251975927e-004,3.161290e+000,-1.796131e-002
5.000000000000004e-004,3.161156e+000,-4.343621e-003
