time,V(vout),V(n002)
3.282044078593671e-003,1.291122e-001,9.797997e-002
3.302044078593580e-003,1.259851e-001,9.470094e-002
3.322044078593489e-003,1.217166e-001,8.992842e-002
3.342044078593398e-003,1.164049e-001,8.373767e-002
3.362044078593307e-003,1.101739e-001,7.622633e-002
3.382044078593216e-003,1.031713e-001,6.751285e-002
3.402044078593125e-003,9.556681e-002,5.773466e-002
3.422044078593034e-003,8.754978e-002,4.704596e-002
3.442044078592943e-003,7.932609e-002,3.561531e-002
3.462044078592852e-003,7.111376e-002,2.362299e-002
3.482044078592761e-003,6.313641e-002,1.125812e-002
3.502044078592670e-003,5.561393e-002,-1.284297e-003
3.522044078592579e-003,4.874897e-002,-1.380646e-002
3.542044078592488e-003,4.270953e-002,-2.611089e-002
3.562044078592397e-003,3.760981e-002,-3.800353e-002
3.582044078592306e-003,3.349479e-002,-4.929683e-002
3.602044078592215e-003,3.033568e-002,-5.981269e-002
3.622044078592124e-003,2.803977e-002,-6.938528e-002
3.642044078592033e-003,2.647161e-002,-7.786361e-002
3.662044078591942e-003,2.547675e-002,-8.511399e-002
3.682044078591851e-003,2.490129e-002,-9.102207e-002
3.702044078591760e-003,2.460583e-002,-9.549468e-002
3.722044078591669e-003,2.447709e-002,-9.846128e-002
3.742044078591578e-003,2.443915e-002,-9.987509e-002
3.762040849801807e-003,2.446304e-002,-9.971395e-002
3.782040849801716e-003,2.457105e-002,-9.798037e-002
3.802040849801625e-003,2.483381e-002,-9.470159e-002
3.822040849801534e-003,2.536182e-002,-8.992931e-002
3.842040849801442e-003,2.629507e-002,-8.373877e-002
3.862040849801351e-003,2.779181e-002,-7.622764e-002
3.882040849801260e-003,3.001441e-002,-6.751435e-002
3.902040849801169e-003,3.310875e-002,-5.773631e-002
3.922040849801078e-003,3.717832e-002,-4.704775e-002
3.942040849800987e-003,4.226040e-002,-3.561721e-002
3.962040849800896e-003,4.831392e-002,-2.362496e-002
3.982040849800805e-003,5.522321e-002,-1.126014e-002
4.002040849800714e-003,6.281412e-002,1.282269e-003
4.022040849800623e-003,7.087512e-002,1.380445e-002
4.042040849800532e-003,7.917673e-002,2.610893e-002
4.062040849800441e-003,8.748661e-002,3.800165e-002
4.082040849800350e-003,9.557980e-002,4.929507e-002
4.102040849800259e-003,1.032455e-001,5.981107e-002
4.122040849800168e-003,1.102913e-001,6.938381e-002
4.142040849800077e-003,1.165467e-001,7.786234e-002
4.162040849799986e-003,1.218644e-001,8.511292e-002
4.182040849799895e-003,1.261228e-001,9.102123e-002
4.202040849799804e-003,1.292265e-001,9.549408e-002
4.222040849799713e-003,1.311075e-001,9.846092e-002
4.242040849799622e-003,1.317259e-001,9.987498e-002
4.262039647184412e-003,1.310699e-001,9.971401e-002
4.282039647184321e-003,1.291559e-001,9.798053e-002
4.302039647184230e-003,1.260285e-001,9.470183e-002
4.322039647184139e-003,1.217595e-001,8.992963e-002
4.342039647184048e-003,1.164473e-001,8.373919e-002
4.362039647183957e-003,1.102156e-001,7.622813e-002
